lead_id,country,type,stage,stage_order,won,is_closed
1,Vietnam,Government,outreach,1,0,0
2,Vietnam,Government,outreach,1,0,0
3,Vietnam,Government,outreach,1,0,0
4,Uzbekistan,Government,meeting,3,0,0
6,Uzbekistan,Government,meeting,3,0,0
7,Uzbekistan,Government,meeting,3,0,0
8,Uzbekistan,Government,meeting,3,0,0
9,Uzbekistan,Government,engagement,2,0,0
10,Uzbekistan,Government,meeting,3,0,0
11,Uzbekistan,Government,meeting,3,0,0
12,Ukraine,Government,proposal,4,0,0
13,Uganda,Government,engagement,2,0,0
14,Uganda,Government,engagement,2,0,0
15,Uganda,Government,engagement,2,0,0
16,UAE,Government,outreach,1,0,0
17,Turkmenistan,Government,outreach,1,0,0
18,Turkey,Government,outreach,1,0,0
19,Turkey,Government,engagement,2,0,0
20,Tunisia,Government,engagement,2,0,0
21,Tunisia,Government,outreach,1,0,0
22,Tunisia,Government,outreach,1,0,0
23,Tunisia,Government,outreach,1,0,0
24,Tunisia,Government,outreach,1,0,0
25,Tunisia,Government,outreach,1,0,0
26,Togo,Government,outreach,1,0,0
27,Tajikistan,Government,engagement,2,0,0
28,Sri Lanka,Government,engagement,2,0,0
29,South Korea,Government,outreach,1,0,0
30,South Africa,Government,outreach,1,0,0
31,South Africa,Government,outreach,1,0,0
32,South Africa,Government,outreach,1,0,0
33,South Africa,Government,outreach,1,0,0
34,South Africa,Government,outreach,1,0,0
35,South Africa,Government,outreach,1,0,0
36,South Africa,Government,outreach,1,0,0
37,South Africa,Government,outreach,1,0,0
38,South Africa,Government,outreach,1,0,0
39,South Africa,Government,engagement,2,0,0
40,South Africa,Government,outreach,1,0,0
41,South Africa,Government,outreach,1,0,0
42,South Africa,Government,outreach,1,0,0
43,South Africa,Government,outreach,1,0,0
44,South Africa,Government,outreach,1,0,0
45,South Africa,Government,outreach,1,0,0
46,Slovakia,Government,outreach,1,0,0
47,Slovakia,Government,engagement,2,0,0
48,Singapore,Government,outreach,1,0,0
49,Singapore,Government,outreach,1,0,0
50,Singapore,Government,outreach,1,0,0
51,Singapore,Government,outreach,1,0,0
52,Singapore,Government,outreach,1,0,0
53,Singapore,Government,outreach,1,0,0
54,Singapore,Government,meeting,3,0,0
55,Serbia,Government,outreach,1,0,0
56,Rwanda,Government,outreach,1,0,0
57,Romania,Government,outreach,1,0,0
58,Romania,Government,engagement,2,0,0
59,Romania,Government,engagement,2,0,0
60,Romania,Government,outreach,1,0,0
61,Romania,Government,outreach,1,0,0
62,Romania,Government,outreach,1,0,0
63,Romania,Government,engagement,2,0,0
64,Romania,Government,outreach,1,0,0
65,Qatar,Government,engagement,2,0,0
66,Qatar,Government,proposal,4,0,0
67,Qatar,Government,outreach,1,0,0
68,Qatar,Government,engagement,2,0,0
69,Qatar,Government,outreach,1,0,0
70,Qatar,Government,outreach,1,0,0
71,Qatar,Government,outreach,1,0,0
72,Qatar,Government,outreach,1,0,0
73,Qatar,Government,outreach,1,0,0
74,Qatar,Government,outreach,1,0,0
75,Qatar,Government,outreach,1,0,0
76,Qatar,Government,outreach,1,0,0
77,Qatar,Government,outreach,1,0,0
78,Qatar,Government,outreach,1,0,0
79,Qatar,Government,outreach,1,0,0
80,Qatar,Government,engagement,2,0,0
81,Pakistan,Government,outreach,1,0,0
82,Pakistan,Government,outreach,1,0,0
83,Pakistan,Government,outreach,1,0,0
84,Pakistan,Government,outreach,1,0,0
85,Pakistan,Government,meeting,3,0,0
86,Pakistan,Government,outreach,1,0,0
87,Pakistan,Government,outreach,1,0,0
88,Pakistan,Government,outreach,1,0,0
89,Pakistan,Government,outreach,1,0,0
90,Pakistan,Government,outreach,1,0,0
91,Pakistan,Government,outreach,1,0,0
92,Pakistan,Government,outreach,1,0,0
