lead_id,country,stage,stage_order,won,is_closed
1,Vietnam,outreach,1,0,0
2,Vietnam,outreach,1,0,0
3,Vietnam,outreach,1,0,0
4,Uzbekistan,meeting,3,0,0
6,Uzbekistan,meeting,3,0,0
7,Uzbekistan,meeting,3,0,0
8,Uzbekistan,meeting,3,0,0
9,Uzbekistan,engagement,2,0,0
10,Uzbekistan,meeting,3,0,0
11,Uzbekistan,meeting,3,0,0
12,Ukraine,proposal,4,0,0
13,Uganda,engagement,2,0,0
14,Uganda,engagement,2,0,0
15,Uganda,engagement,2,0,0
16,UAE,outreach,1,0,0
17,Turkmenistan,outreach,1,0,0
18,Turkey,outreach,1,0,0
19,Turkey,engagement,2,0,0
20,Tunisia,engagement,2,0,0
21,Tunisia,outreach,1,0,0
22,Tunisia,outreach,1,0,0
23,Tunisia,outreach,1,0,0
24,Tunisia,outreach,1,0,0
25,Tunisia,outreach,1,0,0
26,Togo,outreach,1,0,0
27,Tajikistan,engagement,2,0,0
28,Sri Lanka,engagement,2,0,0
29,South Korea,outreach,1,0,0
30,South Africa,outreach,1,0,0
31,South Africa,outreach,1,0,0
32,South Africa,outreach,1,0,0
33,South Africa,outreach,1,0,0
34,South Africa,outreach,1,0,0
35,South Africa,outreach,1,0,0
36,South Africa,outreach,1,0,0
37,South Africa,outreach,1,0,0
38,South Africa,outreach,1,0,0
39,South Africa,engagement,2,0,0
40,South Africa,outreach,1,0,0
41,South Africa,outreach,1,0,0
42,South Africa,outreach,1,0,0
43,South Africa,outreach,1,0,0
44,South Africa,outreach,1,0,0
45,South Africa,outreach,1,0,0
46,Slovakia,outreach,1,0,0
47,Slovakia,engagement,2,0,0
48,Singapore,outreach,1,0,0
49,Singapore,outreach,1,0,0
50,Singapore,outreach,1,0,0
51,Singapore,outreach,1,0,0
52,Singapore,outreach,1,0,0
53,Singapore,outreach,1,0,0
54,Singapore,meeting,3,0,0
55,Serbia,outreach,1,0,0
56,Rwanda,outreach,1,0,0
57,Romania,outreach,1,0,0
58,Romania,engagement,2,0,0
59,Romania,engagement,2,0,0
60,Romania,outreach,1,0,0
61,Romania,outreach,1,0,0
62,Romania,outreach,1,0,0
63,Romania,engagement,2,0,0
64,Romania,outreach,1,0,0
65,Qatar,engagement,2,0,0
66,Qatar,proposal,4,0,0
67,Qatar,outreach,1,0,0
68,Qatar,engagement,2,0,0
69,Qatar,outreach,1,0,0
70,Qatar,outreach,1,0,0
71,Qatar,outreach,1,0,0
72,Qatar,outreach,1,0,0
73,Qatar,outreach,1,0,0
74,Qatar,outreach,1,0,0
75,Qatar,outreach,1,0,0
76,Qatar,outreach,1,0,0
77,Qatar,outreach,1,0,0
78,Qatar,outreach,1,0,0
79,Qatar,outreach,1,0,0
80,Qatar,engagement,2,0,0
81,Pakistan,outreach,1,0,0
82,Pakistan,outreach,1,0,0
83,Pakistan,outreach,1,0,0
84,Pakistan,outreach,1,0,0
85,Pakistan,meeting,3,0,0
86,Pakistan,outreach,1,0,0
87,Pakistan,outreach,1,0,0
88,Pakistan,outreach,1,0,0
89,Pakistan,outreach,1,0,0
90,Pakistan,outreach,1,0,0
91,Pakistan,outreach,1,0,0
92,Pakistan,outreach,1,0,0
93,Pakistan,outreach,1,0,0
94,Pakistan,outreach,1,0,0
95,Pakistan,engagement,2,0,0
96,Pakistan,engagement,2,0,0
97,Pakistan,outreach,1,0,0
98,Pakistan,outreach,1,0,0
99,Pakistan,outreach,1,0,0
100,Pakistan,outreach,1,0,0
101,Pakistan,outreach,1,0,0
102,Pakistan,outreach,1,0,0
103,Oman,meeting,3,0,0
104,Morocco,engagement,2,0,0
105,Morocco,engagement,2,0,0
106,Montenegro,engagement,2,0,0
107,Montenegro,outreach,1,0,0
108,Montenegro,engagement,2,0,0
109,Moldova,outreach,1,0,0
110,Moldova,engagement,2,0,0
111,Moldova,engagement,2,0,0
112,Malaysia,meeting,3,0,0
113,Malaysia,proposal,4,0,0
114,Malaysia,engagement,2,0,0
115,Malaysia,outreach,1,0,0
116,Malaysia,meeting,3,0,0
117,Malaysia,outreach,1,0,0
118,Malawi,outreach,1,0,0
119,Lebanon,outreach,1,0,0
120,Lebanon,outreach,1,0,0
121,Lebanon,outreach,1,0,0
122,Lebanon,outreach,1,0,0
123,Lebanon,engagement,2,0,0
124,Lebanon,outreach,1,0,0
125,Lebanon,meeting,3,0,0
126,Kyrgyzstan,outreach,1,0,0
127,Kuwait,outreach,1,0,0
128,Kuwait,outreach,1,0,0
129,Kuwait,outreach,1,0,0
130,Kuwait,outreach,1,0,0
131,South Korea,outreach,1,0,0
132,South Korea,outreach,1,0,0
133,South Korea,outreach,1,0,0
134,South Korea,outreach,1,0,0
135,South Korea,outreach,1,0,0
136,South Korea,outreach,1,0,0
137,South Korea,outreach,1,0,0
138,South Korea,outreach,1,0,0
139,South Korea,outreach,1,0,0
140,South Korea,outreach,1,0,0
141,South Korea,outreach,1,0,0
142,South Korea,outreach,1,0,0
143,South Korea,outreach,1,0,0
144,South Korea,outreach,1,0,0
145,South Korea,outreach,1,0,0
146,South Korea,outreach,1,0,0
147,South Korea,outreach,1,0,0
148,South Korea,outreach,1,0,0
149,South Korea,outreach,1,0,0
150,Kazakhstan,engagement,2,0,0
151,Kazakhstan,outreach,1,0,0
152,Kazakhstan,engagement,2,0,0
153,Kazakhstan,engagement,2,0,0
154,Kazakhstan,engagement,2,0,0
155,Jordan,outreach,1,0,0
156,Jordan,proposal,4,0,0
157,Ireland,outreach,1,0,0
158,Ireland,outreach,1,0,0
159,Ireland,outreach,1,0,0
